"Reference"," Quantity"," Value"," Footprint"," Datasheet"," mpn"," digikey#"," newark#"," mouser#"
"C1201 C1419 C1701 C1919 C201 C2201 C2419 C2701 C2919 C3201 C3419 C3701 C3919 C419 C701 C919 ",16,"47p","Capacitors_SMD:C_0603","http://datasheets.avx.com/C0GNP0-Dielectric.pdf","06035A470FAT2A","478-10320-1-ND",,
"C1301 C1401 C1408 C1409 C1801 C1901 C1908 C1909 C2301 C2401 C2408 C2409 C2801 C2901 C2908 C2909 C301 C3301 C3401 C3408 C3409 C3801 C3901 C3908 C3909 C401 C408 C409 C4401 C4402 C4404 C4405 C4407 C4409 C4410 C4411 C4412 C4413 C4414 C4415 C4416 C801 C901 C908 C909 ",45,"0u1F","Capacitors_SMD:C_0603","http://datasheets.avx.com/X7RDielectric.pdf","0603YC104JAT2A","478-3726-1-ND","96M1175",
"C1302 C1305 C1307 C1310 C1314 C1315 C1404 C1406 C1410 C1413 C1416 C1420 C1424 C1425 C1802 C1805 C1807 C1810 C1814 C1815 C1904 C1906 C1910 C1913 C1916 C1920 C1924 C1925 C2302 C2305 C2307 C2310 C2314 C2315 C2404 C2406 C2410 C2413 C2416 C2420 C2424 C2425 C2802 C2805 C2807 C2810 C2814 C2815 C2904 C2906 C2910 C2913 C2916 C2920 C2924 C2925 C302 C305 C307 C310 C314 C315 C3302 C3305 C3307 C3310 C3314 C3315 C3404 C3406 C3410 C3413 C3416 C3420 C3424 C3425 C3802 C3805 C3807 C3810 C3814 C3815 C3904 C3906 C3910 C3913 C3916 C3920 C3924 C3925 C404 C406 C410 C413 C416 C420 C424 C425 C802 C805 C807 C810 C814 C815 C904 C906 C910 C913 C916 C920 C924 C925 ",112,"0u1F","IPC7351-Most:CAPC1220X107","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","LLL216R71E104MA01L","490-4346-1-ND",,
"C1303 C1312 C1402 C1407 C1411 C1423 C1803 C1812 C1902 C1907 C1911 C1923 C2303 C2312 C2402 C2407 C2411 C2423 C2803 C2812 C2902 C2907 C2911 C2923 C303 C312 C3303 C3312 C3402 C3407 C3411 C3423 C3803 C3812 C3902 C3907 C3911 C3923 C402 C407 C411 C423 C803 C812 C902 C907 C911 C923 ",48,"2p","Capacitors_SMD:C_0603","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx","GRM1885C1H2R0CA01D","490-10713-1-ND",,
"C1304 C1306 C1804 C1806 C2304 C2306 C2804 C2806 C304 C306 C3304 C3306 C3804 C3806 C804 C806 ",16,"0u01F","Capacitors_SMD:C_0603","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx","GRM1885C1H103JA01D","490-9666-1-ND",,
"C1308 C1309 C1311 C1412 C1414 C1418 C1421 C1422 C1808 C1809 C1811 C1912 C1914 C1918 C1921 C1922 C2308 C2309 C2311 C2412 C2414 C2418 C2421 C2422 C2808 C2809 C2811 C2912 C2914 C2918 C2921 C2922 C308 C309 C311 C3308 C3309 C3311 C3412 C3414 C3418 C3421 C3422 C3808 C3809 C3811 C3912 C3914 C3918 C3921 C3922 C412 C414 C418 C421 C422 C808 C809 C811 C912 C914 C918 C921 C922 ",64,"10p","Capacitors_SMD:C_0603","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us","GRM1885C1H100JA01D","490-1403-1-ND",,
"C1002 C1313 C1502 C1813 C2002 C2313 C2502 C2813 C3002 C313 C3313 C3502 C3813 C4002 C502 C813 ",16,"DNP","Capacitors_SMD:C_0603",,"DNI",,,
"C1403 C1405 C1903 C1905 C2403 C2405 C2903 C2905 C3403 C3405 C3903 C3905 C403 C405 C903 C905 ",16,"10uF","Capacitors_SMD:CP_Elec_5x5.8","https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf","EEH-ZA1H100R","P15441CT-ND","91T4889",
"C1415 C1417 C1915 C1917 C2415 C2417 C2915 C2917 C3415 C3417 C3915 C3917 C415 C417 C915 C917 ",16,"27p","Capacitors_SMD:C_0603","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx","GRM1885C1H270FA01J","490-10712-1-ND",,
"C4201 C4202 C4403 ",3,"C-3TERM","manuf:CAP3-4516X100","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM41PC155B1E3-01.pdf","NFM41PC155B1E3L","490-6986-1-ND","49P5423",
